42;s;1991 Bruxelles (BEL);Costas ;Kassaros;;Greece;Athletics;800m (boys);bronze;Time (ms);00.01.54.400;3
43;s;1991 Bruxelles (BEL);Arlene ;Smith;;Ireland;Athletics;800m (girl);silver;Time (ms);00.02.09.000;2
44;s;1991 Bruxelles (BEL);Silvia ;Kruyer;;Netherlands;Athletics;800m (girl);bronze;Time (ms);00:02:11:450;3
45;s;1991 Bruxelles (BEL);Sergey ;Kluguin;;Romania;Athletics;High Jump (boys);gold;Meters (m);2.20;1
46;s;1991 Bruxelles (BEL);Giorgi ;Florindi;;Italy;Athletics;High Jump (boys);silver;Meters (m);2.10;2
47;s;1991 Bruxelles (BEL);Mark ;Smith;;Great Britain;Athletics;High Jump (boys);bronze;Meters (m);2.07;3
48;s;1991 Bruxelles (BEL);Elena ;Rasmyslovitch;;Romania;Athletics;High Jump (girl);gold;Meters (m);1.88;1
49;s;1991 Bruxelles (BEL);Venelina ;Veneva;;Bulgaria;Athletics;High Jump (girl);silver;Meters (m);1.84;2
50;s;1991 Bruxelles (BEL);Sabrina ;De Leeuw;;Belgium;Athletics;High Jump (girl);bronze;Meters (m);1.76;3
51;s;1991 Bruxelles (BEL);G.;Siakinuu-Schmidt;;France;Athletics;Javelin (boys);gold;Meters (m);73.56;1
52;s;1991 Bruxelles (BEL);Mats ;Nilsson;;Sweden;Athletics;Javelin (boys);silver;Meters (m);65.90;2
53;s;1991 Bruxelles (BEL);Matei ;Dragnev;;Bulgaria;Athletics;Javelin (boys);bronze;Meters (m);64.20;3
54;s;1991 Bruxelles (BEL);Tatiana ;Chlupkina;;Romania;Athletics;Javelin (girl);gold;Meters (m);50.42;1
55;s;1991 Bruxelles (BEL);Kristy ;Morrison;;Great Britain;Athletics;Javelin (girl);silver;Meters (m);48.34;2
56;s;1991 Bruxelles (BEL);Marjani ;Mirela;;Albania;Athletics;Javelin (girl);bronze;Meters (m);47.36;3
57;s;1991 Bruxelles (BEL);Yassin ;Guellet;;Belgium;Athletics;Long Jump (boys);gold;Meters (m);7.56;1
58;s;1991 Bruxelles (BEL);Justin ;Nkoumazok;;France;Athletics;Long Jump (boys);silver;Meters (m);7.31;2
59;s;1991 Bruxelles (BEL);Paolo ;Camossi;;Italy;Athletics;Long Jump (boys);bronze;Meters (m);7.23;3
60;s;1991 Bruxelles (BEL);Aneta ;Sadach;;Poland;Athletics;Long Jump (girl);gold;Meters (m);6.06;1
61;s;1991 Bruxelles (BEL);Claire ;Ignerton;;Ireland;Athletics;Long Jump (girl);silver;Meters (m);5.97;2
62;s;1991 Bruxelles (BEL);Verena ;Mitterruzner;;Italy;Athletics;Long Jump (girl);bronze;Meters (m);5.96;3
63;s;1991 Bruxelles (BEL);Christian ;North;;Great Britain;Athletics;Pole Vault (boys);gold;Meters (m);4.80;1
64;s;1991 Bruxelles (BEL);Niklas ;Ostling;;Sweden;Athletics;Pole Vault (boys);silver;Meters (m);4.75;2
65;s;1991 Bruxelles (BEL);Thomas ;Costantin;;France;Athletics;Pole Vault (boys);bronze;Meters (m);4.70;3
66;s;1991 Bruxelles (BEL);Yuri ;Belonog;;Romania;Athletics;Shot Put (boys);gold;Meters (m);21.23;1
67;s;1991 Bruxelles (BEL);Elias ;Louka;;Cyprus;Athletics;Shot Put (boys);silver;Meters (m);19.95;2
68;s;1991 Bruxelles (BEL);Kiril ;Valtchanov;;Bulgaria;Athletics;Shot Put (boys);bronze;Meters (m);18.81;3
69;s;1991 Bruxelles (BEL);Corrie ;De Bruin;;Netherlands;Athletics;Shot Put (Girls);gold;Meters (m);17.83;1
70;s;1991 Bruxelles (BEL);Irina ;Korchanenko;;Romania;Athletics;Shot Put (Girls);silver;Meters (m);16.68;2
71;s;1991 Bruxelles (BEL);Veerle ;Blondeel;;Belgium;Athletics;Shot Put (Girls);bronze;Meters (m);15.89;3
72;s;1991 Bruxelles (BEL);;;;Spain;Basketball;;gold;;;1
73;s;1991 Bruxelles (BEL);;;;Italy;Basketball;;silver;;;2
74;s;1991 Bruxelles (BEL);;;;Greece;Basketball;;bronze;;;3
75;s;1991 Bruxelles (BEL);;;;Portugal;Football;;gold;;;1
76;s;1991 Bruxelles (BEL);;;;Spain;Football;;silver;;;2
77;s;1991 Bruxelles (BEL);;;;Ireland;Football;;bronze;;;3
78;s;1991 Bruxelles (BEL);Maria;Petrova;;Bulgaria;Rythmic Gymnastics;Clubs;gold;Point;9500;1
79;s;1991 Bruxelles (BEL);Yulia ;Malygina;;Russian Federation;Rythmic Gymnastics;Clubs;silver;Point;9450;2
